Date,DateTime,Open,High,Low,Close,Volume
2023-03-10,2023-03-10 09:30:00,0.8,84.0,78.0,0.7812,3937.57
2023-03-10,2023-03-10 10:00:00,0.7812,79.0,76.0,0.7737,3668.46
2023-03-10,2023-03-10 10:30:00,0.7706,79.0,76.0,0.79,1638.41
2023-03-10,2023-03-10 11:00:00,0.7899,79.0,77.0,0.78,760.56
2023-03-10,2023-03-10 11:30:00,0.7763,79.0,78.0,0.7801,1070.3
2023-03-10,2023-03-10 12:00:00,0.7801,79.0,77.0,0.771,1261.73
2023-03-10,2023-03-10 12:30:00,0.771,77.0,77.0,0.771,997.98
2023-03-10,2023-03-10 13:00:00,0.7715,77.0,76.0,0.769,483.63
2023-03-10,2023-03-10 13:30:00,0.769,78.0,76.0,0.77,978.58
2023-03-10,2023-03-10 14:00:00,0.77,77.0,76.0,0.7611,994.67
2023-03-10,2023-03-10 14:30:00,0.762,77.0,75.0,0.76,1617.82
2023-03-10,2023-03-10 15:00:00,0.76,77.0,75.0,0.7595,1555.65
2023-03-10,2023-03-10 15:30:00,0.7578,84.0,75.0,0.826,3202.0
2023-03-13,2023-03-13 08:30:00,0.77,79.0,70.0,0.7559,3751.28
2023-03-13,2023-03-13 09:00:00,0.7509,76.0,74.0,0.7451,654.88
2023-03-13,2023-03-13 09:30:00,0.745,76.0,74.0,0.7465,1113.91
2023-03-13,2023-03-13 10:00:00,0.7425,76.0,74.0,0.7552,849.08
2023-03-13,2023-03-13 10:30:00,0.7586,76.0,74.0,0.7475,1142.94
2023-03-13,2023-03-13 11:00:00,0.745,76.0,74.0,0.7551,465.84
2023-03-13,2023-03-13 11:30:00,0.755,76.0,74.0,0.735,570.04
2023-03-13,2023-03-13 12:00:00,0.737,75.0,74.0,0.74,774.22
2023-03-13,2023-03-13 12:30:00,0.738,75.0,74.0,0.7513,244.57
2023-03-13,2023-03-13 13:00:00,0.7526,76.0,75.0,0.7551,287.08
2023-03-13,2023-03-13 13:30:00,0.762,77.0,76.0,0.7648,768.04
2023-03-13,2023-03-13 14:00:00,0.7648,77.0,75.0,0.751,876.58
2023-03-13,2023-03-13 14:30:00,0.7559,79.0,75.0,0.78,1292.05
2023-03-14,2023-03-14 08:30:00,0.76,79.0,76.0,0.7611,1271.38
2023-03-14,2023-03-14 09:00:00,0.7614,78.0,76.0,0.77,597.06
2023-03-14,2023-03-14 09:30:00,0.7709,78.0,76.0,0.7701,535.18
2023-03-14,2023-03-14 10:00:00,0.7701,77.0,75.0,0.75,863.52
2023-03-14,2023-03-14 10:30:00,0.751,77.0,75.0,0.76,1069.09
2023-03-14,2023-03-14 11:00:00,0.7649,76.0,76.0,0.76,713.46
2023-03-14,2023-03-14 11:30:00,0.7601,77.0,75.0,0.7698,257.59
2023-03-14,2023-03-14 12:00:00,0.76,77.0,75.0,0.7697,664.34
2023-03-14,2023-03-14 12:30:00,0.76,76.0,75.0,0.7591,474.7
2023-03-14,2023-03-14 13:00:00,0.76,76.0,75.0,0.7523,1656.98
2023-03-14,2023-03-14 13:30:00,0.753,77.0,75.0,0.7677,135.75
2023-03-14,2023-03-14 14:00:00,0.7648,78.0,76.0,0.7705,696.98
2023-03-14,2023-03-14 14:30:00,0.7706,78.0,75.0,0.7587,1193.31
2023-03-15,2023-03-15 08:30:00,0.82,83.0,76.0,0.825,10305.3
2023-03-15,2023-03-15 09:00:00,0.815,82.0,78.0,0.8068,5761.36
2023-03-15,2023-03-15 09:30:00,0.8,82.0,79.0,0.79,2496.15
2023-03-15,2023-03-15 10:00:00,0.7899,80.0,78.0,0.7897,1576.17
2023-03-15,2023-03-15 10:30:00,0.7861,80.0,78.0,0.789,1135.92
2023-03-15,2023-03-15 11:00:00,0.795,80.0,77.0,0.7701,2055.23
2023-03-15,2023-03-15 11:30:00,0.7701,78.0,77.0,0.7836,1480.85
2023-03-15,2023-03-15 12:00:00,0.7745,78.0,77.0,0.782,611.94
2023-03-15,2023-03-15 12:30:00,0.7807,78.0,76.0,0.7653,1657.26
2023-03-15,2023-03-15 13:00:00,0.7653,77.0,76.0,0.7602,1305.71
2023-03-15,2023-03-15 13:30:00,0.7649,77.0,75.0,0.7651,1502.41
2023-03-15,2023-03-15 14:00:00,0.765,77.0,76.0,0.765,670.67
2023-03-15,2023-03-15 14:30:00,0.7643,77.0,72.0,0.7401,4483.81
2023-03-16,2023-03-16 08:30:00,0.7269,73.0,70.0,0.71,3229.99
2023-03-16,2023-03-16 09:00:00,0.71,72.0,70.0,0.7,2351.68
2023-03-16,2023-03-16 09:30:00,0.699,71.0,69.0,0.7025,3069.29
2023-03-16,2023-03-16 10:00:00,0.7025,73.0,69.0,0.7,1795.78
2023-03-16,2023-03-16 10:30:00,0.7086,72.0,69.0,0.6933,1329.87
2023-03-16,2023-03-16 11:00:00,0.7097,72.0,68.0,0.72,1250.2
2023-03-16,2023-03-16 11:30:00,0.7249,73.0,70.0,0.713,591.89
2023-03-16,2023-03-16 12:00:00,0.714,73.0,71.0,0.7253,574.87
2023-03-16,2023-03-16 12:30:00,0.725,74.0,72.0,0.722,1107.86
2023-03-16,2023-03-16 13:00:00,0.7322,73.0,71.0,0.72,390.86
2023-03-16,2023-03-16 13:30:00,0.725,74.0,72.0,0.7387,1148.98
2023-03-16,2023-03-16 14:00:00,0.742,76.0,74.0,0.758,1574.97
2023-03-16,2023-03-16 14:30:00,0.76,78.0,74.0,0.75,2173.3
2023-03-17,2023-03-17 08:30:00,0.7294,74.0,70.0,0.7147,1670.17
2023-03-17,2023-03-17 09:00:00,0.7223,73.0,70.0,0.7198,556.68
2023-03-17,2023-03-17 09:30:00,0.7151,74.0,70.0,0.74,1820.22
2023-03-17,2023-03-17 10:00:00,0.73,74.0,73.0,0.7327,503.28
2023-03-17,2023-03-17 10:30:00,0.7323,73.0,71.0,0.7299,214.31
2023-03-17,2023-03-17 11:00:00,0.7298,73.0,71.0,0.7201,363.99
2023-03-17,2023-03-17 11:30:00,0.725,73.0,71.0,0.7129,732.65
2023-03-17,2023-03-17 12:00:00,0.7129,74.0,71.0,0.7255,1687.5
2023-03-17,2023-03-17 12:30:00,0.7201,73.0,71.0,0.71,332.15
